Guid,Name,SBQQ__Schedule__c,SBQQ__DiscountAmount__c,SBQQ__Discount__c,SBQQ__LowerBound__c,SBQQ__Number__c,SBQQ__Price__c,SBQQ__UpperBound__c
35e79a02-6aa8-4b84-b1ee-33e97236034d,Tier 1,b1918fe8-81c2-4863-942f-59f0cc7495fd,#N/A,0.0,1.0,1.0,#N/A,2.0
a8838d9c-ca4b-4f8c-9cea-f35936439479,Tier 4,b1918fe8-81c2-4863-942f-59f0cc7495fd,#N/A,12.5,11.0,4.0,#N/A,#N/A
2e5093bb-697e-416a-ac3f-22c61047793e,Tier 3,b1918fe8-81c2-4863-942f-59f0cc7495fd,#N/A,10.0,6.0,3.0,#N/A,11.0
96aa55dc-4635-40a5-bc96-d2a62870de22,Tier 2,b1918fe8-81c2-4863-942f-59f0cc7495fd,#N/A,5.0,2.0,2.0,#N/A,6.0
